trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
420,False,"{'a': 0.995, 'e': 3.6543923065242327}",20,0,-101.305307738454,"{0: 8, 1: 4, 2: 7, 3: 1, 4: 0}",0
421,False,"{'a': 0.995, 'e': 3.6361203449916117}",25,0,-110.79260009994738,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
422,False,"{'a': 0.995, 'e': 3.617939743266654}",30,0,-204.52681707653807,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
423,False,"{'a': 0.995, 'e': 3.5998500445503203}",25,0,-166.03306649228674,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
424,False,"{'a': 0.995, 'e': 3.581850794327569}",20,0,-103.2903433443058,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
425,False,"{'a': 0.995, 'e': 3.563941540355931}",25,0,-55.380458405364976,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
426,False,"{'a': 0.995, 'e': 3.5461218326541513}",20,8,-66.00113564877881,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
427,False,"{'a': 0.995, 'e': 3.5283912234908805}",25,0,-159.39535329512918,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
428,False,"{'a': 0.995, 'e': 3.510749267373426}",20,0,-85.93397739772765,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
429,False,"{'a': 0.995, 'e': 3.493195521036559}",20,0,-114.08847306273645,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
430,False,"{'a': 0.995, 'e': 3.475729543431376}",25,0,-39.61760360745647,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
431,False,"{'a': 0.995, 'e': 3.4583508957142195}",20,0,-128.376475927944,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
432,False,"{'a': 0.995, 'e': 3.4410591412356486}",20,0,-9.192684201907586,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
433,False,"{'a': 0.995, 'e': 3.4238538455294703}",25,0,-154.68575378637794,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
434,False,"{'a': 0.995, 'e': 3.406734576301823}",20,0,-117.83088313513106,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
435,False,"{'a': 0.995, 'e': 3.3897009034203136}",25,0,-80.94676440601029,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
436,False,"{'a': 0.995, 'e': 3.372752398903212}",30,22,9.618431742241919,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
